,GenesInCluster,EntrezID,EnrichedGO
50,"['YIL108W', 'YOR385W', 'YGK3', 'BCH2', 'RCN1', 'YLR194C', 'FLC1', 'KTR2', 'PRM5', 'DNL4', 'YJL171C', 'MRK1', 'DFG5', 'DIA1', 'SCM4', 'FLC2', 'HUA1', 'ELO1']","query
YIL108W    854698
YOR385W    854567
YGK3       853992
BCH2       853898
RCN1       853698
YLR194C       NaN
FLC1       855880
KTR2       853935
PRM5       854689
DNL4       854166
YJL171C       NaN
MRK1       851480
DFG5       855278
DIA1       855364
SCM4       852940
FLC2       851246
HUA1       853185
ELO1       853243
Name: entrezgene, dtype: object","{'GO:0071554': (['851246', '855880', '853898', '853935', '855278'], 0.023451227246213235, 245), 'GO:0006970': (['851246', '851480', '853992'], 0.03917462433598362, 84), 'GO:0009408': (['851480', '853992'], 0.24764024425317505, 74), 'GO:0007124': (['855364', '855278'], 0.24764024425317505, 79), 'GO:0006457': (['851246', '855880'], 0.3467514060239739, 107), 'GO:0006629': (['853243', '851246', '855880'], 0.48411091342009294, 336), 'GO:0012505': (['851246', '855880', '853898', '853243', '853935'], 0.48411091342009294, 881), 'GO:0015931': (['851246', '855880'], 0.48411091342009294, 208), 'GO:0016301': (['851480', '853992'], 0.48411091342009294, 215), 'GO:0006468': (['851480', '853992'], 0.48411091342009294, 232), 'GO:0005783': (['853243', '851246', '855880'], 0.48411091342009294, 472), 'GO:0007114': (['855278'], 0.48411091342009294, 57), 'GO:0016798': (['855278'], 0.48411091342009294, 59), 'GO:0001403': (['855364'], 0.48411091342009294, 61), 'GO:0005794': (['853935', '853898'], 0.48411091342009294, 254), 'GO:0016020': (['854689', '852940', '851246', '855880', '853898', '853243', '853935', '855278'], 0.48411091342009294, 1977), 'GO:0005975': (['853898', '855278'], 0.48411091342009294, 266), 'GO:0006486': (['853935'], 0.4882221574798869, 72), 'GO:0006470': (['853698'], 0.5445568055176071, 91), 'GO:0016740': (['853243', '853935', '851480', '853992'], 0.5445568055176071, 893), 'GO:0016757': (['853935'], 0.5445568055176071, 103), 'GO:0016874': (['854166'], 0.5445568055176071, 105), 'GO:0022857': (['851246', '855880'], 0.5445568055176071, 352), 'GO:0006811': (['851246', '855880'], 0.5727789629175831, 376), 'GO:0006260': (['854166'], 0.6419886137569978, 149), 'GO:0019899': (['853698'], 0.6419886137569978, 154), 'GO:0055085': (['851246', '855880'], 0.6419886137569978, 454), 'GO:0032787': (['853243'], 0.6419886137569978, 169), 'GO:0008233': (['854698'], 0.6419886137569978, 174), 'GO:0031399': (['853698'], 0.6425933528832382, 182), 'GO:0048193': (['853898'], 0.6529311943411713, 194), 'GO:0006310': (['854166'], 0.7371466085029266, 244), 'GO:0030234': (['853698'], 0.7371466085029266, 253), 'GO:0031410': (['853898'], 0.7371466085029266, 261), 'GO:0023052': (['853698'], 0.7517960655062432, 284), 'GO:0006281': (['854166'], 0.7517960655062432, 293), 'GO:0006974': (['854166'], 0.7968641727777459, 336), 'GO:0043167': (['854166', '851480', '854698', '853992'], 0.8518551079755428, 1564), 'GO:0005886': (['855278'], 0.8583123531806799, 421), 'GO:0005694': (['854166'], 0.8832686088885792, 469), 'GO:0005737': (['854698', '855364', '853698', '853185', '851246', '853898', '855880', '853243', '854567', '853935'], 0.8992242962315417, 3926), 'GO:0016787': (['854698', '855278'], 0.8992242962315417, 1014), 'GO:0003677': (['854166'], 0.8992242962315417, 577), 'GO:0005575': (['854689', '851480', '852940', '854698', '855364', '853698', '853185', '853992', '854166', '851246', '853898', '855880', '853243', '854567', '853935', '855278'], 0.999999792333988, 6044), 'GO:0005634': (['854166'], 0.999999792333988, 2044), 'GO:0003674': (['854689', '851480', '852940', '854698', '855364', '853698', '853185', '853992', '854166', '851246', '853898', '855880', '853243', '854567', '853935', '855278'], 0.999999792333988, 6265), 'GO:0008150': (['854689', '851480', '852940', '854698', '855364', '853698', '853185', '853992', '854166', '851246', '853898', '855880', '853243', '854567', '853935', '855278'], 0.999999792333988, 6293)}"
51,"['MCH5', 'NUP53', 'YPT32', 'FAR11', 'YPR063C']","query
MCH5       854483
NUP53      855184
YPT32      852662
FAR11      855596
YPR063C    856176
Name: entrezgene, dtype: object","{'GO:0012505': (['856176', '852662', '855184', '855596'], 0.06294910948565367, 881), 'GO:0005794': (['852662', '855596'], 0.18776749334833773, 254), 'GO:0051726': (['855184', '855596'], 0.18776749334833773, 256), 'GO:0000278': (['855184', '855596'], 0.220973397962689, 338), 'GO:0016020': (['856176', '852662', '855184', '854483'], 0.220973397962689, 1977), 'GO:0006887': (['852662'], 0.220973397962689, 52), 'GO:0005783': (['856176', '855596'], 0.220973397962689, 472), 'GO:0006997': (['855184'], 0.220973397962689, 67), 'GO:0042221': (['854483', '855596'], 0.220973397962689, 515), 'GO:0003924': (['852662'], 0.220973397962689, 79), 'GO:0016197': (['852662'], 0.220973397962689, 85), 'GO:0000746': (['855596'], 0.2673219627175269, 121), 'GO:0008289': (['855184'], 0.2673219627175269, 123), 'GO:0051169': (['855184'], 0.3010663411074984, 178), 'GO:0031399': (['855184'], 0.3010663411074984, 182), 'GO:0048193': (['852662'], 0.3010663411074984, 194), 'GO:0018193': (['855184'], 0.3010663411074984, 201), 'GO:0070647': (['855184'], 0.3010663411074984, 203), 'GO:0015931': (['855184'], 0.3010663411074984, 208), 'GO:0048285': (['855184'], 0.3360998112128837, 251), 'GO:0031410': (['852662'], 0.3360998112128837, 261), 'GO:0023052': (['855596'], 0.34655585499726665, 284), 'GO:0033043': (['855184'], 0.353635777616208, 305), 'GO:0006974': (['855596'], 0.36310292287071555, 336), 'GO:0022857': (['854483'], 0.36310292287071555, 352), 'GO:0005198': (['855184'], 0.36310292287071555, 367), 'GO:0006811': (['854483'], 0.36310292287071555, 376), 'GO:0005886': (['854483'], 0.3864876651256755, 421), 'GO:0055085': (['854483'], 0.3982255398540561, 454), 'GO:0043167': (['852662', '855184'], 0.4486299058894389, 1564), 'GO:0003677': (['855184'], 0.4553863473390713, 577), 'GO:0016787': (['852662'], 0.6756471601732453, 1014), 'GO:0005737': (['856176', '852662', '855596'], 0.8098173052836355, 3926), 'GO:0005575': (['852662', '855184', '855596', '854483', '856176'], 0.8864956703582029, 6044), 'GO:0005634': (['855184'], 0.9085690928792763, 2044), 'GO:0003674': (['852662', '855184', '855596', '854483', '856176'], 0.9968279169111759, 6265), 'GO:0008150': (['852662', '855184', '855596', '854483', '856176'], 0.9968279169111759, 6293)}"
52,"['YVC1', 'YKR005C', 'IST3', 'VID22', 'SSP120', 'ECM19', 'TAT2']","query
YVC1       854255
YKR005C    853874
IST3       854821
VID22      851088
SSP120     850952
ECM19      851106
TAT2       854139
Name: entrezgene, dtype: object","{'GO:0005773': (['851088', '854255'], 0.2812714618746849, 270), 'GO:0016020': (['851106', '851088', '854139', '853874', '854255'], 0.2812714618746849, 1977), 'GO:0022857': (['854139', '854255'], 0.2812714618746849, 352), 'GO:0006865': (['854139'], 0.2812714618746849, 55), 'GO:0006811': (['854139', '854255'], 0.2812714618746849, 376), 'GO:0005886': (['851088', '854139'], 0.2812714618746849, 421), 'GO:0055085': (['854139', '854255'], 0.2812714618746849, 454), 'GO:0006873': (['854255'], 0.38206439101407275, 132), 'GO:0008380': (['854821'], 0.38206439101407275, 144), 'GO:0051169': (['854821'], 0.40159716744937474, 178), 'GO:0015931': (['854821'], 0.40159716744937474, 208), 'GO:0006397': (['854821'], 0.40159716744937474, 208), 'GO:0071554': (['851106'], 0.42911886190680626, 245), 'GO:0005740': (['851106'], 0.6063643868440893, 401), 'GO:0003677': (['851088'], 0.7508539107857193, 577), 'GO:0043167': (['851088', '850952'], 0.7920467649215509, 1564), 'GO:0003723': (['854821'], 0.839724574725992, 870), 'GO:0005739': (['851106'], 0.839724574725992, 893), 'GO:0005634': (['851088', '854821'], 0.8673498082544455, 2044), 'GO:0005737': (['851088', '854821', '854255', '851106'], 0.8673498082544455, 3926), 'GO:0003674': (['851106', '851088', '854139', '854821', '850952', '853874', '854255'], 0.9955619028564321, 6265), 'GO:0005575': (['851106', '851088', '854139', '854821', '853874', '854255'], 0.9955619028564321, 6044), 'GO:0008150': (['851106', '851088', '854139', '854821', '850952', '853874', '854255'], 0.9955619028564321, 6293)}"
53,"['VPS71', 'CTF4', 'SPE2', 'DAS1']","query
VPS71    854966
CTF4     856254
SPE2     854105
DAS1     853292
Name: entrezgene, dtype: object","{'GO:0003682': (['856254', '854966'], 0.04966095611674548, 116), 'GO:0005694': (['856254', '854966'], 0.24253740485299172, 469), 'GO:0006766': (['854105'], 0.24253740485299172, 53), 'GO:0030674': (['853292'], 0.24253740485299172, 62), 'GO:0016829': (['854105'], 0.27653460741790226, 107), 'GO:0006260': (['856254'], 0.27653460741790226, 149), 'GO:0032787': (['854105'], 0.27653460741790226, 169), 'GO:0070647': (['853292'], 0.27653460741790226, 203), 'GO:0007059': (['856254'], 0.27653460741790226, 211), 'GO:0051603': (['853292'], 0.27653460741790226, 230), 'GO:0006310': (['856254'], 0.27653460741790226, 244), 'GO:0051186': (['854105'], 0.27653460741790226, 249), 'GO:0048285': (['856254'], 0.27653460741790226, 251), 'GO:0055086': (['854105'], 0.27653460741790226, 274), 'GO:0006281': (['856254'], 0.27653460741790226, 293), 'GO:0006974': (['856254'], 0.27653460741790226, 336), 'GO:0000278': (['856254'], 0.27653460741790226, 338), 'GO:0006325': (['854966'], 0.27653460741790226, 340), 'GO:0003677': (['856254'], 0.41993854201908204, 577), 'GO:0005634': (['856254', '854966'], 0.4898530173175014, 2044), 'GO:0016740': (['853292'], 0.5447516347744561, 893), 'GO:0043167': (['854966'], 0.7736794896801539, 1564), 'GO:0003674': (['854966', '856254', '854105', '853292'], 0.9974615275368941, 6265), 'GO:0005575': (['854966', '856254', '853292'], 0.9974615275368941, 6044), 'GO:0008150': (['854966', '856254', '854105', '853292'], 0.9974615275368941, 6293)}"
54,"['YML037C', 'ASF2', 'YKR045C', 'YLR173W', 'SWD1', 'DCR2']","query
YML037C    854971
ASF2       851330
YKR045C    853919
YLR173W    850870
SWD1       851265
DCR2       851075
Name: entrezgene, dtype: object","{'GO:0006325': (['851330', '851265'], 0.28782200320034584, 340), 'GO:0008213': (['851265'], 0.28782200320034584, 52), 'GO:0005694': (['851330', '851265'], 0.28782200320034584, 469), 'GO:0032200': (['851265'], 0.28782200320034584, 81), 'GO:0006470': (['851075'], 0.28782200320034584, 91), 'GO:0008168': (['851265'], 0.28782200320034584, 97), 'GO:0016791': (['851075'], 0.28782200320034584, 100), 'GO:0016570': (['851265'], 0.3235339202144352, 130), 'GO:0018193': (['851265'], 0.43235278156982154, 201), 'GO:0051726': (['851075'], 0.4837351792073308, 256), 'GO:0023052': (['851075'], 0.4837351792073308, 284), 'GO:0000278': (['851075'], 0.516655307899169, 338), 'GO:0042221': (['851075'], 0.6780561127970338, 515), 'GO:0016740': (['851265'], 0.895504867940509, 893), 'GO:0005634': (['851330', '851265'], 0.895504867940509, 2044), 'GO:0016787': (['851075'], 0.895504867940509, 1014), 'GO:0043167': (['851075'], 0.9961947087695777, 1564), 'GO:0016020': (['850870'], 0.9961947087695777, 1977), 'GO:0005737': (['851075', '853919'], 0.9961947087695777, 3926), 'GO:0003674': (['851330', '854971', '850870', '851265', '853919', '851075'], 0.9961947087695777, 6265), 'GO:0005575': (['851330', '850870', '851265', '853919', '851075'], 0.9961947087695777, 6044), 'GO:0008150': (['851330', '854971', '850870', '851265', '853919', '851075'], 0.9961947087695777, 6293)}"
55,"['BTS1', 'MGA1']","query
BTS1    856036
MGA1    853164
Name: entrezgene, dtype: object","{'GO:0007124': (['853164'], 0.2992070378727183, 79), 'GO:0003700': (['853164'], 0.351068814350292, 187), 'GO:0006629': (['856036'], 0.41548131656423015, 336), 'GO:0005694': (['853164'], 0.41967754179849115, 469), 'GO:0003677': (['853164'], 0.41967754179849115, 577), 'GO:0016740': (['856036'], 0.5270320753126265, 893), 'GO:0043167': (['856036'], 0.7458097911842873, 1564), 'GO:0005634': (['853164'], 0.8157502650104563, 2044), 'GO:0005737': (['856036'], 0.9987299572641716, 3926), 'GO:0005575': (['856036', '853164'], 0.9987299572641716, 6044), 'GO:0003674': (['856036', '853164'], 0.9987299572641716, 6265), 'GO:0008150': (['856036', '853164'], 0.9987299572641716, 6293)}"
56,"['TMA23', 'LRP1', 'PLP1', 'YMR027W', 'LSC1']","query
TMA23      855311
LRP1       856481
PLP1       851764
YMR027W    855042
LSC1       854310
Name: entrezgene, dtype: object","{'GO:0043144': (['856481'], 0.3695507317065143, 45), 'GO:0008168': (['855042'], 0.3695507317065143, 97), 'GO:0045333': (['854310'], 0.3695507317065143, 100), 'GO:0016791': (['855042'], 0.3695507317065143, 100), 'GO:0016874': (['854310'], 0.3695507317065143, 105), 'GO:0006457': (['851764'], 0.3695507317065143, 107), 'GO:0042274': (['855311'], 0.37090842859166917, 131), 'GO:0006401': (['856481'], 0.37090842859166917, 146), 'GO:0006091': (['854310'], 0.37090842859166917, 207), 'GO:0051186': (['854310'], 0.37090842859166917, 249), 'GO:0030234': (['856481'], 0.37090842859166917, 253), 'GO:0006364': (['856481'], 0.37090842859166917, 267), 'GO:0055086': (['854310'], 0.37090842859166917, 274), 'GO:0005730': (['855311'], 0.37090842859166917, 282), 'GO:0023052': (['851764'], 0.37090842859166917, 284), 'GO:0006366': (['851764'], 0.5515741685617108, 500), 'GO:0042221': (['851764'], 0.5515741685617108, 515), 'GO:0003677': (['856481'], 0.572309868953157, 577), 'GO:0005634': (['856481', '855311'], 0.6559923346066953, 2044), 'GO:0003723': (['856481'], 0.6559923346066953, 870), 'GO:0005739': (['854310'], 0.6559923346066953, 893), 'GO:0016740': (['855042'], 0.6559923346066953, 893), 'GO:0016787': (['855042'], 0.6859684446412267, 1014), 'GO:0005737': (['851764', '854310'], 0.996827916911176, 3926), 'GO:0003674': (['855042', '856481', '851764', '855311', '854310'], 0.996827916911176, 6265), 'GO:0005575': (['856481', '851764', '855311', '854310'], 0.996827916911176, 6044), 'GO:0008150': (['855042', '856481', '851764', '855311', '854310'], 0.996827916911176, 6293)}"
57,"['NTE1', 'YTA7', 'YGR266W', 'YLR446W', 'ALD6', 'GEA1']","query
NTE1       854943
YTA7       853186
YGR266W    853182
YLR446W    851167
ALD6       856044
GEA1       853488
Name: entrezgene, dtype: object","{'GO:0032787': (['851167', '856044'], 0.2819513948289739, 169), 'GO:0051186': (['851167', '856044'], 0.2819513948289739, 249), 'GO:0055086': (['851167', '856044'], 0.2819513948289739, 274), 'GO:0012505': (['854943', '853488', '853186'], 0.2819513948289739, 881), 'GO:0042393': (['853186'], 0.2819513948289739, 43), 'GO:0005085': (['853488'], 0.28312493286686585, 52), 'GO:0001403': (['853186'], 0.2836667561735151, 61), 'GO:0005783': (['854943', '853186'], 0.28737693955998167, 472), 'GO:0006970': (['856044'], 0.28737693955998167, 84), 'GO:0016020': (['853182', '854943', '853488', '853186'], 0.28737693955998167, 1977), 'GO:0003682': (['853186'], 0.3358786983862417, 116), 'GO:0019899': (['853488'], 0.4026524434590851, 154), 'GO:0048193': (['853488'], 0.41308317160534297, 194), 'GO:0006091': (['851167'], 0.41308317160534297, 207), 'GO:0016301': (['851167'], 0.41308317160534297, 215), 'GO:0005794': (['853488'], 0.41308317160534297, 254), 'GO:0007010': (['853488'], 0.41308317160534297, 254), 'GO:0031410': (['853488'], 0.41308317160534297, 261), 'GO:0005975': (['851167'], 0.41308317160534297, 266), 'GO:0023052': (['853488'], 0.41308317160534297, 284), 'GO:0033043': (['853186'], 0.41308317160534297, 305), 'GO:0006629': (['854943'], 0.41308317160534297, 336), 'GO:0016491': (['856044'], 0.41308317160534297, 337), 'GO:0006325': (['853186'], 0.41308317160534297, 340), 'GO:0005886': (['853182'], 0.47569224124278825, 421), 'GO:0006366': (['853186'], 0.5267229423562999, 500), 'GO:0043167': (['851167', '853186'], 0.5991449707973446, 1564), 'GO:0005737': (['854943', '853488', '853186', '856044'], 0.7006122028881532, 3926), 'GO:0005739': (['856044'], 0.7006122028881532, 893), 'GO:0016740': (['851167'], 0.7006122028881532, 893), 'GO:0016787': (['854943'], 0.7353119150244648, 1014), 'GO:0005575': (['854943', '853186', '853182', '856044', '851167', '853488'], 0.8551900518449267, 6044), 'GO:0005634': (['853186'], 0.9599304572733847, 2044), 'GO:0003674': (['854943', '853186', '853182', '856044', '851167', '853488'], 0.9961947087695776, 6265), 'GO:0008150': (['854943', '853186', '853182', '856044', '851167', '853488'], 0.9961947087695776, 6293)}"
58,"['PLB3', 'CLB2', 'CLB1', 'GAS3', 'AIM20', 'ASH1', 'YNL040W', 'ALK1', 'SFG1', 'MMR1', 'BUD4']","query
PLB3       854151
CLB2       856236
CLB1       853002
GAS3       855255
AIM20      854648
ASH1       853650
YNL040W    855688
ALK1       852863
SFG1       854493
MMR1       850887
BUD4       853554
Name: entrezgene, dtype: object","{'GO:0000278': (['853650', '853002', '852863', '854493', '856236', '853554'], 0.0004192919444871788, 338), 'GO:0005933': (['850887', '856236', '853650', '853554'], 0.007128715036621852, 203), 'GO:0030427': (['850887', '856236', '853554'], 0.059453092336887385, 209), 'GO:0006468': (['853002', '856236', '852863'], 0.059453092336887385, 232), 'GO:0007124': (['854493', '853650'], 0.059453092336887385, 79), 'GO:0007010': (['853002', '856236', '853554'], 0.059453092336887385, 254), 'GO:0051726': (['853002', '856236', '853650'], 0.059453092336887385, 256), 'GO:0005576': (['855255', '854151'], 0.07422561127957161, 99), 'GO:0005618': (['855255', '853554'], 0.07648724643341609, 107), 'GO:0031399': (['853002', '856236'], 0.1854349683711476, 182), 'GO:0005856': (['856236', '853554'], 0.23923554911946251, 236), 'GO:0006418': (['855688'], 0.23923554911946251, 38), 'GO:0048285': (['853002', '856236'], 0.23923554911946251, 251), 'GO:0030234': (['853002', '856236'], 0.23923554911946251, 253), 'GO:0007114': (['853554'], 0.2822356274227079, 57), 'GO:0033043': (['853002', '856236'], 0.2822356274227079, 305), 'GO:0048308': (['850887'], 0.2822356274227079, 60), 'GO:0005815': (['856236'], 0.3168660177782045, 72), 'GO:0000910': (['853554'], 0.3551093031988749, 87), 'GO:0006470': (['856236'], 0.3551093031988749, 91), 'GO:0005886': (['855255', '854151'], 0.368440131244361, 421), 'GO:0016874': (['855688'], 0.368440131244361, 105), 'GO:0005938': (['853554'], 0.5313947832842438, 166), 'GO:0043167': (['855688', '853650', '852863', '853554'], 0.5418899018158949, 1564), 'GO:0003700': (['853650'], 0.5418899018158949, 187), 'GO:0007059': (['856236'], 0.5646196260193547, 211), 'GO:0016301': (['852863'], 0.5646196260193547, 215), 'GO:0006520': (['855688'], 0.5854755413709609, 244), 'GO:0071554': (['855255'], 0.5854755413709609, 245), 'GO:0007005': (['850887'], 0.5919697805587706, 259), 'GO:0005773': (['854648'], 0.5922459164205884, 270), 'GO:0051321': (['853002'], 0.6175669839326108, 304), 'GO:0006974': (['852863'], 0.6175669839326108, 336), 'GO:0006629': (['854151'], 0.6175669839326108, 336), 'GO:0006325': (['853650'], 0.6175669839326108, 340), 'GO:0016020': (['850887', '855255', '854648', '854151'], 0.6175669839326108, 1977), 'GO:0016740': (['855255', '852863'], 0.6175669839326108, 893), 'GO:0005634': (['854493', '853002', '856236', '853650'], 0.6339562955526944, 2044), 'GO:0005740': (['850887'], 0.6339562955526944, 401), 'GO:0016787': (['855688', '854151'], 0.6588230611485064, 1014), 'GO:0005694': (['853650'], 0.6710404760129932, 469), 'GO:0006366': (['853650'], 0.6828573620542614, 500), 'GO:0003677': (['853650'], 0.728433824005273, 577), 'GO:0005739': (['850887'], 0.8880536417120272, 893), 'GO:0005737': (['853002', '854648', '850887', '856236', '853554'], 0.9656162856112261, 3926), 'GO:0005575': (['853650', '854151', '855255', '853002', '854648', '852863', '854493', '850887', '856236', '853554'], 0.9656162856112261, 6044), 'GO:0003674': (['855688', '853650', '854151', '855255', '853002', '854648', '852863', '854493', '850887', '856236', '853554'], 0.9656162856112261, 6265), 'GO:0008150': (['855688', '853650', '854151', '855255', '853002', '854648', '852863', '854493', '850887', '856236', '853554'], 0.9930346963807137, 6293)}"
59,"['OAR1', 'VMA21', 'LSM6', 'YMR074C', 'HMO1']","query
OAR1       853810
VMA21      852997
LSM6       851984
YMR074C       NaN
HMO1       851754
Name: entrezgene, dtype: object","{'GO:0005730': (['851754', '851984'], 0.43288457694375443, 282), 'GO:0006360': (['851754'], 0.43288457694375443, 68), 'GO:0006352': (['851754'], 0.43288457694375443, 78), 'GO:0045333': (['853810'], 0.43288457694375443, 100), 'GO:0008033': (['851984'], 0.43288457694375443, 125), 'GO:0042274': (['851984'], 0.43288457694375443, 131), 'GO:0008380': (['851984'], 0.43288457694375443, 144), 'GO:0032787': (['853810'], 0.43288457694375443, 169), 'GO:0006091': (['853810'], 0.43288457694375443, 207), 'GO:0006397': (['851984'], 0.43288457694375443, 208), 'GO:0031410': (['852997'], 0.454471348108092, 261), 'GO:0006364': (['851984'], 0.454471348108092, 267), 'GO:0006629': (['853810'], 0.48087738927126483, 336), 'GO:0016491': (['853810'], 0.48087738927126483, 337), 'GO:0005694': (['851754'], 0.5579854372420471, 469), 'GO:0005783': (['852997'], 0.5579854372420471, 472), 'GO:0006366': (['851754'], 0.5579854372420471, 500), 'GO:0005737': (['853810', '852997', '851754', '851984'], 0.5622693449364351, 3926), 'GO:0003677': (['851754'], 0.5622693449364351, 577), 'GO:0005634': (['851754', '851984'], 0.6235976514162412, 2044), 'GO:0003723': (['851984'], 0.6235976514162412, 870), 'GO:0012505': (['852997'], 0.6235976514162412, 881), 'GO:0005739': (['853810'], 0.6235976514162412, 893), 'GO:0016740': (['853810'], 0.6235976514162412, 893), 'GO:0016020': (['852997'], 0.9497965769207197, 1977), 'GO:0005575': (['853810', '852997', '851754', '851984'], 0.9999959700397669, 6044), 'GO:0003674': (['853810', '852997', '851754', '851984'], 0.9999959700397669, 6265), 'GO:0008150': (['853810', '852997', '851754', '851984'], 0.9999959700397669, 6293)}"
60,"['TPC1', 'SKN1', 'SET3', 'YLR297W']","query
TPC1       852988
SKN1       853045
SET3       853900
YLR297W    851004
Name: entrezgene, dtype: object","{'GO:0042393': (['853900'], 0.3760401095421464, 43), 'GO:0016798': (['853045'], 0.3760401095421464, 59), 'GO:0016570': (['853900'], 0.3760401095421464, 130), 'GO:0016020': (['851004', '853045', '852988'], 0.3760401095421464, 1977), 'GO:0071554': (['853045'], 0.3760401095421464, 245), 'GO:0048285': (['853900'], 0.3760401095421464, 251), 'GO:0051726': (['853900'], 0.3760401095421464, 256), 'GO:0005975': (['853045'], 0.3760401095421464, 266), 'GO:0005773': (['851004'], 0.3760401095421464, 270), 'GO:0051321': (['853900'], 0.3760401095421464, 304), 'GO:0033043': (['853900'], 0.3760401095421464, 305), 'GO:0006629': (['853045'], 0.3760401095421464, 336), 'GO:0006325': (['853900'], 0.3760401095421464, 340), 'GO:0022857': (['852988'], 0.3760401095421464, 352), 'GO:0006811': (['852988'], 0.3760401095421464, 376), 'GO:0005740': (['852988'], 0.3760401095421464, 401), 'GO:0055085': (['852988'], 0.3845948400290173, 454), 'GO:0005694': (['853900'], 0.3845948400290173, 469), 'GO:0005739': (['852988'], 0.626177668603901, 893), 'GO:0016787': (['853045'], 0.6559330385203663, 1014), 'GO:0043167': (['853900'], 0.8429422249467581, 1564), 'GO:0005634': (['853900'], 0.919443730369392, 2044), 'GO:0005737': (['851004', '852988'], 0.919443730369392, 3926), 'GO:0005575': (['851004', '853045', '853900', '852988'], 0.919443730369392, 6044), 'GO:0003674': (['851004', '853045', '853900', '852988'], 0.9974615275368941, 6265), 'GO:0008150': (['851004', '853045', '853900', '852988'], 0.9974615275368941, 6293)}"
61,"['MAE1', 'GYP8', 'PSH1', 'PTC7', 'BUL1', 'FCY1', 'CTM1', 'LPX1']","query
MAE1    853839
GYP8    850517
PSH1    854102
PTC7    856475
BUL1    855318
FCY1    856175
CTM1    856509
LPX1    854251
Name: entrezgene, dtype: object","{'GO:0070647': (['854102', '855318'], 0.3630127517135226, 203), 'GO:0007031': (['854251'], 0.3630127517135226, 51), 'GO:0008213': (['856509'], 0.3630127517135226, 52), 'GO:0048308': (['855318'], 0.3630127517135226, 60), 'GO:0016740': (['856509', '855318', '854102'], 0.3630127517135226, 893), 'GO:0005777': (['854251'], 0.3630127517135226, 79), 'GO:0006470': (['856475'], 0.3630127517135226, 91), 'GO:0043167': (['856175', '853839', '856475', '854102'], 0.3630127517135226, 1564), 'GO:0008168': (['856509'], 0.3630127517135226, 97), 'GO:0016791': (['856475'], 0.3630127517135226, 100), 'GO:0016787': (['856175', '854251', '856475'], 0.3630127517135226, 1014), 'GO:0016829': (['853839'], 0.3630127517135226, 107), 'GO:0032787': (['853839'], 0.5090808457555066, 169), 'GO:0018193': (['856509'], 0.5090808457555066, 201), 'GO:0015931': (['855318'], 0.5090808457555066, 208), 'GO:0051603': (['854102'], 0.5090808457555066, 230), 'GO:0006520': (['853839'], 0.5090808457555066, 244), 'GO:0030234': (['850517'], 0.5090808457555066, 253), 'GO:0007005': (['855318'], 0.5090808457555066, 259), 'GO:0055086': (['856175'], 0.5090808457555066, 274), 'GO:0005739': (['853839', '856475'], 0.5130047289142549, 893), 'GO:0006629': (['854251'], 0.5262287243207802, 336), 'GO:0016491': (['853839'], 0.5262287243207802, 337), 'GO:0006811': (['855318'], 0.5509842078452382, 376), 'GO:0005886': (['855318'], 0.5781496068225633, 421), 'GO:0005694': (['854102'], 0.603660359426571, 469), 'GO:0042221': (['855318'], 0.6229469785153637, 515), 'GO:0005737': (['855318', '853839', '856509', '856475', '854251'], 0.7867588201726922, 3926), 'GO:0012505': (['856475'], 0.8213058794785396, 881), 'GO:0005634': (['854102', '856475'], 0.8955790150054284, 2044), 'GO:0016020': (['855318'], 0.990677980020617, 1977), 'GO:0003674': (['850517', '855318', '853839', '856509', '856475', '854102', '856175', '854251'], 0.990677980020617, 6265), 'GO:0005575': (['850517', '855318', '853839', '856509', '856475', '854102', '854251'], 0.990677980020617, 6044), 'GO:0008150': (['850517', '855318', '853839', '856509', '856475', '854102', '856175', '854251'], 0.9949294989162344, 6293)}"
