,ClusterGenes,HitGenes,GO_term,depth,p_value
94,"['KTR6', 'GID8', 'PAC1', 'ISU1', 'FSH1', 'HRD1', 'KTR7']","['854724', '856054']",GO:0016757,4,0.051423306
95,"['PGC1', 'YLR179C', 'YDC1', 'PBI2', 'PGM3', 'OPI3', 'YOR289W', 'TFS1', 'CTT1', 'YFR045W', 'HSP31', 'STF2', 'SOL4', 'YJR096W', 'HXK1', 'GND2', 'YOR292C', 'BDH1', 'MCR1', 'VPS73', 'GTO3', 'GAD1', 'ALD4', 'LSP1', 'FKH1', 'MRP8', 'YMR196W', 'GRE3', 'UBP15', 'YPR172W', 'MSC1', 'YKL091C', 'TMA10', 'YHR140W', 'GCY1', 'HSP12', 'DCS2', 'FAA1', 'PNC1', 'FMP33', 'ALD2', 'GLO1', 'YGR149W', 'PGM2', 'AIM17']","['852146', '854287', '856504', '855291', '850532', '852979', '853707', '853559']",GO:0006979,4,8.50E-05
96,"['PGC1', 'YLR179C', 'YDC1', 'PBI2', 'PGM3', 'OPI3', 'YOR289W', 'TFS1', 'CTT1', 'YFR045W', 'HSP31', 'STF2', 'SOL4', 'YJR096W', 'HXK1', 'GND2', 'YOR292C', 'BDH1', 'MCR1', 'VPS73', 'GTO3', 'GAD1', 'ALD4', 'LSP1', 'FKH1', 'MRP8', 'YMR196W', 'GRE3', 'UBP15', 'YPR172W', 'MSC1', 'YKL091C', 'TMA10', 'YHR140W', 'GCY1', 'HSP12', 'DCS2', 'FAA1', 'PNC1', 'FMP33', 'ALD2', 'GLO1', 'YGR149W', 'PGM2', 'AIM17']","['854495', '853172', '854556', '855009', '852979', '855292', '850614', '855206', '852846', '853163']",GO:0051186,4,0.000337767
97,"['PGC1', 'YLR179C', 'YDC1', 'PBI2', 'PGM3', 'OPI3', 'YOR289W', 'TFS1', 'CTT1', 'YFR045W', 'HSP31', 'STF2', 'SOL4', 'YJR096W', 'HXK1', 'GND2', 'YOR292C', 'BDH1', 'MCR1', 'VPS73', 'GTO3', 'GAD1', 'ALD4', 'LSP1', 'FKH1', 'MRP8', 'YMR196W', 'GRE3', 'UBP15', 'YPR172W', 'MSC1', 'YKL091C', 'TMA10', 'YHR140W', 'GCY1', 'HSP12', 'DCS2', 'FAA1', 'PNC1', 'FMP33', 'ALD2', 'GLO1', 'YGR149W', 'PGM2', 'AIM17']","['851239', '854287', '856504', '856365', '853172', '854556', '855206', '852979', '853707', '853559']",GO:0016491,3,0.002938415
98,"['PGC1', 'YLR179C', 'YDC1', 'PBI2', 'PGM3', 'OPI3', 'YOR289W', 'TFS1', 'CTT1', 'YFR045W', 'HSP31', 'STF2', 'SOL4', 'YJR096W', 'HXK1', 'GND2', 'YOR292C', 'BDH1', 'MCR1', 'VPS73', 'GTO3', 'GAD1', 'ALD4', 'LSP1', 'FKH1', 'MRP8', 'YMR196W', 'GRE3', 'UBP15', 'YPR172W', 'MSC1', 'YKL091C', 'TMA10', 'YHR140W', 'GCY1', 'HSP12', 'DCS2', 'FAA1', 'PNC1', 'FMP33', 'ALD2', 'GLO1', 'YGR149W', 'PGM2', 'AIM17']","['852146', '854495', '853172', '854556', '855009', '850614', '855206']",GO:0032787,7,0.003761217
99,"['PGC1', 'YLR179C', 'YDC1', 'PBI2', 'PGM3', 'OPI3', 'YOR289W', 'TFS1', 'CTT1', 'YFR045W', 'HSP31', 'STF2', 'SOL4', 'YJR096W', 'HXK1', 'GND2', 'YOR292C', 'BDH1', 'MCR1', 'VPS73', 'GTO3', 'GAD1', 'ALD4', 'LSP1', 'FKH1', 'MRP8', 'YMR196W', 'GRE3', 'UBP15', 'YPR172W', 'MSC1', 'YKL091C', 'TMA10', 'YHR140W', 'GCY1', 'HSP12', 'DCS2', 'FAA1', 'PNC1', 'FMP33', 'ALD2', 'GLO1', 'YGR149W', 'PGM2', 'AIM17']","['855236', '856504', '854287', '853163', '855131', '853172', '850614', '853559']",GO:0005975,4,0.008709395
100,"['PGC1', 'YLR179C', 'YDC1', 'PBI2', 'PGM3', 'OPI3', 'YOR289W', 'TFS1', 'CTT1', 'YFR045W', 'HSP31', 'STF2', 'SOL4', 'YJR096W', 'HXK1', 'GND2', 'YOR292C', 'BDH1', 'MCR1', 'VPS73', 'GTO3', 'GAD1', 'ALD4', 'LSP1', 'FKH1', 'MRP8', 'YMR196W', 'GRE3', 'UBP15', 'YPR172W', 'MSC1', 'YKL091C', 'TMA10', 'YHR140W', 'GCY1', 'HSP12', 'DCS2', 'FAA1', 'PNC1', 'FMP33', 'ALD2', 'GLO1', 'YGR149W', 'PGM2', 'AIM17']","['852146', '854287', '856504', '855291', '854675', '850532', '852979', '853707', '853559', '852891']",GO:0042221,3,0.036157331
101,"['PGC1', 'YLR179C', 'YDC1', 'PBI2', 'PGM3', 'OPI3', 'YOR289W', 'TFS1', 'CTT1', 'YFR045W', 'HSP31', 'STF2', 'SOL4', 'YJR096W', 'HXK1', 'GND2', 'YOR292C', 'BDH1', 'MCR1', 'VPS73', 'GTO3', 'GAD1', 'ALD4', 'LSP1', 'FKH1', 'MRP8', 'YMR196W', 'GRE3', 'UBP15', 'YPR172W', 'MSC1', 'YKL091C', 'TMA10', 'YHR140W', 'GCY1', 'HSP12', 'DCS2', 'FAA1', 'PNC1', 'FMP33', 'ALD2', 'GLO1', 'YGR149W', 'PGM2', 'AIM17']","['854495', '855131', '853172', '854556', '850614', '852846', '853163']",GO:0055086,4,0.036157331
102,"['PGC1', 'YLR179C', 'YDC1', 'PBI2', 'PGM3', 'OPI3', 'YOR289W', 'TFS1', 'CTT1', 'YFR045W', 'HSP31', 'STF2', 'SOL4', 'YJR096W', 'HXK1', 'GND2', 'YOR292C', 'BDH1', 'MCR1', 'VPS73', 'GTO3', 'GAD1', 'ALD4', 'LSP1', 'FKH1', 'MRP8', 'YMR196W', 'GRE3', 'UBP15', 'YPR172W', 'MSC1', 'YKL091C', 'TMA10', 'YHR140W', 'GCY1', 'HSP12', 'DCS2', 'FAA1', 'PNC1', 'FMP33', 'ALD2', 'GLO1', 'YGR149W', 'PGM2', 'AIM17']","['856504', '850876', '856103', '855206', '851239', '852891', '856018', '854287', '856302', '854344', '856365', '855131', '855717', '853172', '855292', '850606', '851037', '853715', '853279', '854467', '854911', '854556', '850875', '854675', '850532', '850614', '852846', '853163', '853536', '856543', '852146', '852774', '852979', '853707', '855350', '855895']",GO:0005737,4,0.089534821
103,"['TPO2', 'TPO3']","['853039', '856279']",GO:0005773,5,0.011435812
