,ClusterGenes,HitGenes,GO_term,depth,p_value
166,"['ECM14', 'THI21', 'ATR1', 'CIK1', 'AGC1', 'KAR3']","['856533', '854924']",GO:0005773,5,0.074388859
167,"['ECM14', 'THI21', 'ATR1', 'CIK1', 'AGC1', 'KAR3']","['855238', '856263']",GO:0016887,8,0.074388859
168,"['ECM14', 'THI21', 'ATR1', 'CIK1', 'AGC1', 'KAR3']","['855238', '856263']",GO:0051321,3,0.076186525
169,"['ECM14', 'THI21', 'ATR1', 'CIK1', 'AGC1', 'KAR3']","['855238', '856263']",GO:0033043,5,0.076186525
170,"['ECM14', 'THI21', 'ATR1', 'CIK1', 'AGC1', 'KAR3']","['855238', '856263']",GO:0000278,4,0.086474202
171,"['ECM14', 'THI21', 'ATR1', 'CIK1', 'AGC1', 'KAR3']","['856132', '854924']",GO:0022857,3,0.087735794
172,"['ECM14', 'THI21', 'ATR1', 'CIK1', 'AGC1', 'KAR3']","['856132', '854924']",GO:0006811,5,0.093567485
173,"['ECM14', 'THI21', 'ATR1', 'CIK1', 'AGC1', 'KAR3']",['855870'],GO:0006766,4,0.094858422
174,"['ECM14', 'THI21', 'ATR1', 'CIK1', 'AGC1', 'KAR3']",['856132'],GO:0006865,6,0.094858422
175,"['SER1', 'TRP3', 'ARO3', 'ASN1', 'YLR211C', 'ARO8', 'TRX2', 'ADH6', 'CLN3', 'ASN2', 'PIB1']","['853025', '856268', '853669', '852672', '851605', '854356']",GO:0006520,4,4.23E-05
176,"['SER1', 'TRP3', 'ARO3', 'ASN1', 'YLR211C', 'ARO8', 'TRX2', 'ADH6', 'CLN3', 'ASN2', 'PIB1']","['851191', '853123']",GO:0061025,5,0.088554095
177,"['SER1', 'TRP3', 'ARO3', 'ASN1', 'YLR211C', 'ARO8', 'TRX2', 'ADH6', 'CLN3', 'ASN2', 'PIB1']","['851191', '853123']",GO:0007033,5,0.088554095
178,"['SER1', 'TRP3', 'ARO3', 'ASN1', 'YLR211C', 'ARO8', 'TRX2', 'ADH6', 'CLN3', 'ASN2', 'PIB1']","['851191', '853123']",GO:0048284,5,0.088554095
179,"['SER1', 'TRP3', 'ARO3', 'ASN1', 'YLR211C', 'ARO8', 'TRX2', 'ADH6', 'CLN3', 'ASN2', 'PIB1']","['853025', '856268']",GO:0016874,3,0.088554095
180,"['SIS2', 'AIM39', 'TES1', 'OM45', 'FMP46', 'MPM1', 'MDH1', 'GPX1', 'NDI1', 'YHR033W', 'ECM7', 'SIP2', 'THI22', 'YNL115C', 'YGR130C']","['854919', '853379', '854103', '854670', '853842']",GO:0005740,5,0.05841208
181,"['SIS2', 'AIM39', 'TES1', 'OM45', 'FMP46', 'MPM1', 'MDH1', 'GPX1', 'NDI1', 'YHR033W', 'ECM7', 'SIP2', 'THI22', 'YNL115C', 'YGR130C']","['854919', '853379', '854103', '854670', '853842', '853777', '853923']",GO:0005739,5,0.05841208
182,"['QCR6', 'CYT1', 'BEM4', 'ACN9', 'APN1', 'MIR1', 'NAP1', 'COX8', 'ATP20', 'QCR9', 'QCR2', 'YGL039W']","['853095', '850593', '851111', '854231', '856321']",GO:0045333,5,2.77E-05
183,"['QCR6', 'CYT1', 'BEM4', 'ACN9', 'APN1', 'MIR1', 'NAP1', 'COX8', 'ATP20', 'QCR9', 'QCR2', 'YGL039W']","['853095', '856131', '850593', '853540', '851111', '854231', '856321']",GO:0005740,5,4.80E-05
184,"['QCR6', 'CYT1', 'BEM4', 'ACN9', 'APN1', 'MIR1', 'NAP1', 'COX8', 'ATP20', 'QCR9', 'QCR2', 'YGL039W']","['853095', '856131', '850593', '851111', '854231', '856321']",GO:0055086,4,6.33E-05
185,"['QCR6', 'CYT1', 'BEM4', 'ACN9', 'APN1', 'MIR1', 'NAP1', 'COX8', 'ATP20', 'QCR9', 'QCR2', 'YGL039W']","['853095', '850593', '851111', '854231', '856321', '852844']",GO:0016491,3,0.000155715
186,"['QCR6', 'CYT1', 'BEM4', 'ACN9', 'APN1', 'MIR1', 'NAP1', 'COX8', 'ATP20', 'QCR9', 'QCR2', 'YGL039W']","['853095', '850593', '851111', '854231', '856321']",GO:0006091,4,0.000190322
187,"['QCR6', 'CYT1', 'BEM4', 'ACN9', 'APN1', 'MIR1', 'NAP1', 'COX8', 'ATP20', 'QCR9', 'QCR2', 'YGL039W']","['853095', '856131', '850593', '853540', '851111', '853746', '854231', '856321']",GO:0005739,5,0.000299641
188,"['CWH41', 'NCA3', 'YPL257W', 'PKH1', 'YSP1', 'KTR5']","['852857', '855703']",GO:0006486,5,0.057060646
189,"['NDL1', 'PRY2', 'SCW10', 'DYN1', 'BIO2', 'GIC2']","['851904', '850956', '853928']",GO:0005856,5,0.038667928
190,"['NDL1', 'PRY2', 'SCW10', 'DYN1', 'BIO2', 'GIC2']","['853882', '855352']",GO:0005576,2,0.071097951
191,"['NDL1', 'PRY2', 'SCW10', 'DYN1', 'BIO2', 'GIC2']","['853882', '851904']",GO:0008289,3,0.072420145
192,"['NDL1', 'PRY2', 'SCW10', 'DYN1', 'BIO2', 'GIC2']","['851904', '853928']",GO:0005938,4,0.09712768
193,"['MSA1', 'ECM5', 'RAV1', 'OCA1']","['855624', '855214']",GO:0006979,4,0.03219397
194,"['HHF2', 'HHT2', 'GRH1', 'AIM34', 'YHP1']","['855700', '852062', '855701']",GO:0005694,5,0.056213604
195,"['HHF2', 'HHT2', 'GRH1', 'AIM34', 'YHP1']","['855700', '852062', '855701']",GO:0003677,5,0.056213604
196,"['HHF2', 'HHT2', 'GRH1', 'AIM34', 'YHP1']","['855700', '855701']",GO:0043934,3,0.056213604
197,"['ASF1', 'YPL107W', 'RAD33', 'SSO2', 'YPR109W', 'IAH1', 'NTO1', 'ADD66']","['853327', '856143']",GO:0042393,4,0.040654154
198,"['ASF1', 'YPL107W', 'RAD33', 'SSO2', 'YPR109W', 'IAH1', 'NTO1', 'ADD66']","['853327', '856143']",GO:0043543,7,0.057476303
199,"['DSS4', 'YEL1', 'YDR210W', 'YHR162W', 'HPF1', 'AIM13', 'ALY2', 'YKR018C']","['856128', '852219', '853361']",GO:0019899,4,0.018672029
200,"['DSS4', 'YEL1', 'YDR210W', 'YHR162W', 'HPF1', 'AIM13', 'ALY2', 'YKR018C']","['852219', '856128']",GO:0005085,3,0.02309124
201,"['BBC1', 'LAS21', 'ECM30', 'GIP3', 'PIG1']","['850979', '855967']",GO:0006470,7,0.048688786
202,"['BBC1', 'LAS21', 'ECM30', 'GIP3', 'PIG1']","['850979', '855967']",GO:0031399,6,0.094573626
203,"['GCV2', 'ADE1', 'ADE5,7', 'ADE4', 'GCV1', 'MTD1', 'SNU66', 'ADE2', 'FKH2']","['853955', '855346', '851272', '854295']",GO:0055086,4,0.020101738
204,"['GCV2', 'ADE1', 'ADE5,7', 'ADE4', 'GCV1', 'MTD1', 'SNU66', 'ADE2', 'FKH2']","['851582', '855346', '855227']",GO:0006520,4,0.093826679
205,"['ECM3', 'DPP1', 'UPC2', 'HST1', 'ARL3']","['851878', '854259', '854086', '856056']",GO:0016787,3,0.093722379
206,"['EXG1', 'EXO1', 'ERG5', 'NST1', 'CYB5', 'ERG2']","['855242', '855029', '855612']",GO:0006629,4,0.072602192
207,"['STE24', 'SSA1', 'STI1', 'CPR6', 'SGT2', 'HSP82', 'YDJ1', 'HSC82', 'SSE1']","['850914', '851259', '855836', '855224', '855998', '854192', '855661']",GO:0006457,3,5.72E-10
208,"['STE24', 'SSA1', 'STI1', 'CPR6', 'SGT2', 'HSP82', 'YDJ1', 'HSC82', 'SSE1']","['850914', '851259', '855836', '855224', '855661']",GO:0051082,4,7.99E-07
209,"['STE24', 'SSA1', 'STI1', 'CPR6', 'SGT2', 'HSP82', 'YDJ1', 'HSC82', 'SSE1']","['854168', '851259', '855836', '854192', '855661']",GO:0006605,6,2.99E-05
210,"['STE24', 'SSA1', 'STI1', 'CPR6', 'SGT2', 'HSP82', 'YDJ1', 'HSC82', 'SSE1']","['855224', '855661', '854168']",GO:0009408,4,0.001292824
211,"['STE24', 'SSA1', 'STI1', 'CPR6', 'SGT2', 'HSP82', 'YDJ1', 'HSC82', 'SSE1']","['851259', '855836', '854192', '855661']",GO:0007005,5,0.002441645
212,"['STE24', 'SSA1', 'STI1', 'CPR6', 'SGT2', 'HSP82', 'YDJ1', 'HSC82', 'SSE1']","['855998', '854192', '855661']",GO:0030234,3,0.026543925
213,"['STE24', 'SSA1', 'STI1', 'CPR6', 'SGT2', 'HSP82', 'YDJ1', 'HSC82', 'SSE1']","['855836', '853581']",GO:0051604,5,0.026543925
214,"['STE24', 'SSA1', 'STI1', 'CPR6', 'SGT2', 'HSP82', 'YDJ1', 'HSC82', 'SSE1']","['855836', '855224']",GO:0032200,6,0.026543925
215,"['STE24', 'SSA1', 'STI1', 'CPR6', 'SGT2', 'HSP82', 'YDJ1', 'HSC82', 'SSE1']","['851259', '855836', '855224']",GO:0016887,8,0.026543925
216,"['STE24', 'SSA1', 'STI1', 'CPR6', 'SGT2', 'HSP82', 'YDJ1', 'HSC82', 'SSE1']","['851259', '855836', '855224', '853581', '855998', '855661']",GO:0043167,3,0.038643569
217,"['STE24', 'SSA1', 'STI1', 'CPR6', 'SGT2', 'HSP82', 'YDJ1', 'HSC82', 'SSE1']","['850914', '854168', '851259', '855836', '855224', '853581', '855998', '854192', '855661']",GO:0005737,4,0.051762676
218,"['STE24', 'SSA1', 'STI1', 'CPR6', 'SGT2', 'HSP82', 'YDJ1', 'HSC82', 'SSE1']","['851259', '855661']",GO:0051169,5,0.084011838
219,"['HRB1', 'CEX1', 'IRC21']","['854279', '855728']",GO:0051169,5,0.020807667
220,"['HRB1', 'CEX1', 'IRC21']","['854279', '855728']",GO:0015931,6,0.020807667
221,"['ARO10', 'ANT1', 'ARO9', 'HAP4', 'YGR250C', 'NRM1', 'AAT1']","['856539', '851987', '853755']",GO:0006520,4,0.033756662
222,"['ARO10', 'ANT1', 'ARO9', 'HAP4', 'YGR250C', 'NRM1', 'AAT1']","['853751', '855743']",GO:0008134,4,0.033756662
223,"['ALB1', 'OTU1', 'ELP2', 'DPH2', 'ELP3', 'ATG13', 'YJL132W', 'LIA1', 'RMT2', 'DPH1', 'FMS1', 'ATG19', 'YMR310C', 'ECM1', 'UBX5', 'DPH5', 'PRS5', 'YPS6', 'LHP1', 'SMM1', 'BDH2', 'CUP9', 'URA10', 'YIL096C', 'NRP1', 'YOR342C', 'YJR124C', 'SEE1', 'YNL024C', 'YKU70', 'RTT101', 'YAP1801', 'PPT1', 'RBG1', 'URA1', 'DUS3', 'ARX1', 'YMR160W', 'MET28', 'YMR262W', 'AIM19', 'DEG1', 'HSV2', 'ERJ5', 'YML018C', 'ECM38', 'YIR014W', 'TYW1', 'DUS4']","['853114', '851121', '850550', '855749', '851117', '856019', '855894', '851509']",GO:0008033,8,0.000489041
224,"['ALB1', 'OTU1', 'ELP2', 'DPH2', 'ELP3', 'ATG13', 'YJL132W', 'LIA1', 'RMT2', 'DPH1', 'FMS1', 'ATG19', 'YMR310C', 'ECM1', 'UBX5', 'DPH5', 'PRS5', 'YPS6', 'LHP1', 'SMM1', 'BDH2', 'CUP9', 'URA10', 'YIL096C', 'NRP1', 'YOR342C', 'YJR124C', 'SEE1', 'YNL024C', 'YKU70', 'RTT101', 'YAP1801', 'PPT1', 'RBG1', 'URA1', 'DUS3', 'ARX1', 'YMR160W', 'MET28', 'YMR262W', 'AIM19', 'DEG1', 'HSV2', 'ERJ5', 'YML018C', 'ECM38', 'YIR014W', 'TYW1', 'DUS4']","['853114', '851121', '850550', '855749', '851117', '856019', '855894']",GO:0009451,6,0.000774626
225,"['YFR018C', 'PGM1', 'HXK2']","['852639', '853732']",GO:0006091,4,0.033091897
226,"['YFR018C', 'PGM1', 'HXK2']","['852639', '853732']",GO:0005975,4,0.033091897
227,"['YFR018C', 'PGM1', 'HXK2']","['852639', '853732']",GO:0055086,4,0.033091897
228,"['YFR018C', 'PGM1', 'HXK2']",['853732'],GO:0009311,5,0.07249899
229,"['YFR018C', 'PGM1', 'HXK2']",['852639'],GO:0008643,6,0.078319784
230,"['YDR132C', 'SIW14', 'YOR283W', 'TRS33', 'NRK1']","['855699', '854457']",GO:0016791,6,0.053741121
231,"['YDR286C', 'PUS1', 'TMA22', 'YPR003C', 'TMA19', 'NUP2', 'RBG2', 'RMD5', 'YOR352W', 'THI6', 'KEL3', 'YPL245W', 'FPR4', 'OSW5', 'FPR3', 'YRR1', 'ERF2', 'TMA46', 'NCA2']","['855889', '851170', '854901']",GO:0016853,3,0.075768372
232,"['CRZ1', 'STV1', 'SUT1']","['852714', '855704']",GO:0051049,4,0.016634116
233,"['CRZ1', 'STV1', 'SUT1']","['855076', '855704']",GO:0006873,5,0.019497591
234,"['CRZ1', 'STV1', 'SUT1']","['852714', '855704']",GO:0003700,3,0.025933
235,"['CRZ1', 'STV1', 'SUT1']","['855076', '855704']",GO:0006811,5,0.077028105
236,"['CRZ1', 'STV1', 'SUT1']","['852714', '855704']",GO:0006366,7,0.094861318
237,"['CRZ1', 'STV1', 'SUT1']","['852714', '855704']",GO:0042221,3,0.094861318
238,"['RSC2', 'MSS1', 'ATG21', 'NHP6A']","['851071', '856165']",GO:0006354,7,0.035755888
239,"['RSC2', 'MSS1', 'ATG21', 'NHP6A']","['851071', '856165']",GO:0003682,3,0.035755888
240,"['TPO5', 'GSH2', 'YPK9', 'ENT3', 'AIM24', 'BCH1', 'HSE1']","['855277', '853680', '853589']",GO:0005794,4,0.037355758
241,"['TPO5', 'GSH2', 'YPK9', 'ENT3', 'AIM24', 'BCH1', 'HSE1']","['853589', '855277', '856387']",GO:0031410,5,0.037355758
242,"['TPO5', 'GSH2', 'YPK9', 'ENT3', 'AIM24', 'BCH1', 'HSE1']","['856387', '855277', '853543', '853589', '853680', '854466']",GO:0016020,2,0.052776614
243,"['TPO5', 'GSH2', 'YPK9', 'ENT3', 'AIM24', 'BCH1', 'HSE1']","['854466', '853680', '856387']",GO:0006811,5,0.052776614
244,"['TPO5', 'GSH2', 'YPK9', 'ENT3', 'AIM24', 'BCH1', 'HSE1']","['853589', '855277', '853680', '856387']",GO:0012505,3,0.063997354
245,"['SPH1', 'YPL264C', 'GEF1', 'RKM1', 'YIP4', 'MSA2', 'UBP8']","['855263', '855893']",GO:0008213,7,0.059904044
246,"['FAA4', 'HUL4', 'STB5', 'YIP3', 'YMR31', 'PCL7', 'UPS3', 'LSC2', 'AIM2', 'LSB6', 'TAZ1', 'CBP4', 'HMS2', 'YLR413W', 'IDH1']","['850610', '856262', '855691', '853159']",GO:0045333,5,0.002141528
247,"['FAA4', 'HUL4', 'STB5', 'YIP3', 'YMR31', 'PCL7', 'UPS3', 'LSC2', 'AIM2', 'LSB6', 'TAZ1', 'CBP4', 'HMS2', 'YLR413W', 'IDH1']","['850610', '854761', '856262', '855691', '853159']",GO:0006091,4,0.002141528
248,"['RPL24B', 'NCS2', 'RPL11B', 'VPS68', 'RPS0A', 'RPL9B', 'VPS8', 'RPS14B', 'RPL24A', 'RPL37A', 'SNL1', 'EGD1', 'TOF2', 'FSF1', 'THI20', 'RPP2A', 'RPS9A', 'RPL14A', 'RPL38', 'RPS23A', 'RPL9A', 'RPS6A', 'YMR155W', 'YAP5', 'CAF20', 'RPS7B', 'RPL16A', 'URM1', 'MNR2', 'RPL34B', 'RPL6B', 'PKR1', 'RPL15B', 'RPL7B', 'RPL43A', 'RPS25A', 'RPS1B', 'YDR506C', 'RPL17B', 'MAG2']","['854673', '853864', '855150', '853051', '856015', '855903', '856156', '853128', '854939', '851169', '852730', '853262', '856024', '853248', '852911', '854118', '854759', '852852', '855628', '851035', '850882', '855658', '852976']",GO:0002181,7,4.00E-23
249,"['RPL24B', 'NCS2', 'RPL11B', 'VPS68', 'RPS0A', 'RPL9B', 'VPS8', 'RPS14B', 'RPL24A', 'RPL37A', 'SNL1', 'EGD1', 'TOF2', 'FSF1', 'THI20', 'RPP2A', 'RPS9A', 'RPL14A', 'RPL38', 'RPS23A', 'RPL9A', 'RPS6A', 'YMR155W', 'YAP5', 'CAF20', 'RPS7B', 'RPL16A', 'URM1', 'MNR2', 'RPL34B', 'RPL6B', 'PKR1', 'RPL15B', 'RPL7B', 'RPL43A', 'RPS25A', 'RPS1B', 'YDR506C', 'RPL17B', 'MAG2']","['854673', '853864', '855150', '853051', '856015', '855903', '856156', '853128', '854939', '851169', '852730', '853262', '856024', '853248', '852911', '854118', '854759', '852852', '855628', '851035', '850882', '855658', '852976', '853015']",GO:0003735,3,4.00E-23
250,"['RPL24B', 'NCS2', 'RPL11B', 'VPS68', 'RPS0A', 'RPL9B', 'VPS8', 'RPS14B', 'RPL24A', 'RPL37A', 'SNL1', 'EGD1', 'TOF2', 'FSF1', 'THI20', 'RPP2A', 'RPS9A', 'RPL14A', 'RPL38', 'RPS23A', 'RPL9A', 'RPS6A', 'YMR155W', 'YAP5', 'CAF20', 'RPS7B', 'RPL16A', 'URM1', 'MNR2', 'RPL34B', 'RPL6B', 'PKR1', 'RPL15B', 'RPL7B', 'RPL43A', 'RPS25A', 'RPS1B', 'YDR506C', 'RPL17B', 'MAG2']","['854673', '853864', '855150', '853051', '854796', '856015', '855903', '856156', '853128', '854939', '851169', '852730', '853262', '856024', '853248', '852911', '854118', '854759', '852852', '855628', '851035', '850882', '855658', '852976', '853015']",GO:0005840,4,3.78E-22
251,"['RPL24B', 'NCS2', 'RPL11B', 'VPS68', 'RPS0A', 'RPL9B', 'VPS8', 'RPS14B', 'RPL24A', 'RPL37A', 'SNL1', 'EGD1', 'TOF2', 'FSF1', 'THI20', 'RPP2A', 'RPS9A', 'RPL14A', 'RPL38', 'RPS23A', 'RPL9A', 'RPS6A', 'YMR155W', 'YAP5', 'CAF20', 'RPS7B', 'RPL16A', 'URM1', 'MNR2', 'RPL34B', 'RPL6B', 'PKR1', 'RPL15B', 'RPL7B', 'RPL43A', 'RPS25A', 'RPS1B', 'YDR506C', 'RPL17B', 'MAG2']","['854673', '853864', '855150', '853051', '856015', '855903', '856156', '853128', '854939', '851169', '852730', '853262', '856024', '853248', '852911', '854118', '854759', '852852', '855628', '851035', '850882', '855658', '852976', '853015']",GO:0005198,2,9.45E-19
252,"['RPL24B', 'NCS2', 'RPL11B', 'VPS68', 'RPS0A', 'RPL9B', 'VPS8', 'RPS14B', 'RPL24A', 'RPL37A', 'SNL1', 'EGD1', 'TOF2', 'FSF1', 'THI20', 'RPP2A', 'RPS9A', 'RPL14A', 'RPL38', 'RPS23A', 'RPL9A', 'RPS6A', 'YMR155W', 'YAP5', 'CAF20', 'RPS7B', 'RPL16A', 'URM1', 'MNR2', 'RPL34B', 'RPL6B', 'PKR1', 'RPL15B', 'RPL7B', 'RPL43A', 'RPS25A', 'RPS1B', 'YDR506C', 'RPL17B', 'MAG2']","['856024', '853248', '850882', '855658', '852730', '852976']",GO:0019843,6,2.08E-05
253,"['RPL24B', 'NCS2', 'RPL11B', 'VPS68', 'RPS0A', 'RPL9B', 'VPS8', 'RPS14B', 'RPL24A', 'RPL37A', 'SNL1', 'EGD1', 'TOF2', 'FSF1', 'THI20', 'RPP2A', 'RPS9A', 'RPL14A', 'RPL38', 'RPS23A', 'RPL9A', 'RPS6A', 'YMR155W', 'YAP5', 'CAF20', 'RPS7B', 'RPL16A', 'URM1', 'MNR2', 'RPL34B', 'RPL6B', 'PKR1', 'RPL15B', 'RPL7B', 'RPL43A', 'RPS25A', 'RPS1B', 'YDR506C', 'RPL17B', 'MAG2']","['853262', '856024', '853128', '850882', '854939', '855628', '856015', '855903', '853248', '853015']",GO:0006364,6,5.25E-05
254,"['RPL24B', 'NCS2', 'RPL11B', 'VPS68', 'RPS0A', 'RPL9B', 'VPS8', 'RPS14B', 'RPL24A', 'RPL37A', 'SNL1', 'EGD1', 'TOF2', 'FSF1', 'THI20', 'RPP2A', 'RPS9A', 'RPL14A', 'RPL38', 'RPS23A', 'RPL9A', 'RPS6A', 'YMR155W', 'YAP5', 'CAF20', 'RPS7B', 'RPL16A', 'URM1', 'MNR2', 'RPL34B', 'RPL6B', 'PKR1', 'RPL15B', 'RPL7B', 'RPL43A', 'RPS25A', 'RPS1B', 'YDR506C', 'RPL17B', 'MAG2']","['854673', '853864', '854809', '854835', '855150', '853051', '854796', '856015', '855903', '854450', '854099', '856070', '856156', '853128', '854939', '851169', '853991', '852730', '854445', '853262', '856024', '853248', '852911', '854118', '854759', '852852', '855628', '851035', '855603', '853801', '855153', '851147', '850882', '855658', '851261', '852976', '853015']",GO:0005737,4,0.000141001
255,"['RPL24B', 'NCS2', 'RPL11B', 'VPS68', 'RPS0A', 'RPL9B', 'VPS8', 'RPS14B', 'RPL24A', 'RPL37A', 'SNL1', 'EGD1', 'TOF2', 'FSF1', 'THI20', 'RPP2A', 'RPS9A', 'RPL14A', 'RPL38', 'RPS23A', 'RPL9A', 'RPS6A', 'YMR155W', 'YAP5', 'CAF20', 'RPS7B', 'RPL16A', 'URM1', 'MNR2', 'RPL34B', 'RPL6B', 'PKR1', 'RPL15B', 'RPL7B', 'RPL43A', 'RPS25A', 'RPS1B', 'YDR506C', 'RPL17B', 'MAG2']","['856024', '853128', '854939', '856015', '853248', '853015']",GO:0042274,5,0.001355564
256,"['RPL24B', 'NCS2', 'RPL11B', 'VPS68', 'RPS0A', 'RPL9B', 'VPS8', 'RPS14B', 'RPL24A', 'RPL37A', 'SNL1', 'EGD1', 'TOF2', 'FSF1', 'THI20', 'RPP2A', 'RPS9A', 'RPL14A', 'RPL38', 'RPS23A', 'RPL9A', 'RPS6A', 'YMR155W', 'YAP5', 'CAF20', 'RPS7B', 'RPL16A', 'URM1', 'MNR2', 'RPL34B', 'RPL6B', 'PKR1', 'RPL15B', 'RPL7B', 'RPL43A', 'RPS25A', 'RPS1B', 'YDR506C', 'RPL17B', 'MAG2']","['853262', '850882', '851169', '855903', '852976']",GO:0042273,5,0.00370904
257,"['RPL24B', 'NCS2', 'RPL11B', 'VPS68', 'RPS0A', 'RPL9B', 'VPS8', 'RPS14B', 'RPL24A', 'RPL37A', 'SNL1', 'EGD1', 'TOF2', 'FSF1', 'THI20', 'RPP2A', 'RPS9A', 'RPL14A', 'RPL38', 'RPS23A', 'RPL9A', 'RPS6A', 'YMR155W', 'YAP5', 'CAF20', 'RPS7B', 'RPL16A', 'URM1', 'MNR2', 'RPL34B', 'RPL6B', 'PKR1', 'RPL15B', 'RPL7B', 'RPL43A', 'RPS25A', 'RPS1B', 'YDR506C', 'RPL17B', 'MAG2']","['854450', '854673', '853864', '856024', '855603', '853248', '855150', '850882', '855658', '853051', '851169', '852852', '852730', '852976']",GO:0003723,5,0.003765414
258,"['RPL24B', 'NCS2', 'RPL11B', 'VPS68', 'RPS0A', 'RPL9B', 'VPS8', 'RPS14B', 'RPL24A', 'RPL37A', 'SNL1', 'EGD1', 'TOF2', 'FSF1', 'THI20', 'RPP2A', 'RPS9A', 'RPL14A', 'RPL38', 'RPS23A', 'RPL9A', 'RPS6A', 'YMR155W', 'YAP5', 'CAF20', 'RPS7B', 'RPL16A', 'URM1', 'MNR2', 'RPL34B', 'RPL6B', 'PKR1', 'RPL15B', 'RPL7B', 'RPL43A', 'RPS25A', 'RPS1B', 'YDR506C', 'RPL17B', 'MAG2']","['853248', '851169', '853128', '852976']",GO:0042255,6,0.003765414
259,"['RPL24B', 'NCS2', 'RPL11B', 'VPS68', 'RPS0A', 'RPL9B', 'VPS8', 'RPS14B', 'RPL24A', 'RPL37A', 'SNL1', 'EGD1', 'TOF2', 'FSF1', 'THI20', 'RPP2A', 'RPS9A', 'RPL14A', 'RPL38', 'RPS23A', 'RPL9A', 'RPS6A', 'YMR155W', 'YAP5', 'CAF20', 'RPS7B', 'RPL16A', 'URM1', 'MNR2', 'RPL34B', 'RPL6B', 'PKR1', 'RPL15B', 'RPL7B', 'RPL43A', 'RPS25A', 'RPS1B', 'YDR506C', 'RPL17B', 'MAG2']","['854450', '853128', '852976', '851169', '853248']",GO:0070925,5,0.014228408
260,"['RPL24B', 'NCS2', 'RPL11B', 'VPS68', 'RPS0A', 'RPL9B', 'VPS8', 'RPS14B', 'RPL24A', 'RPL37A', 'SNL1', 'EGD1', 'TOF2', 'FSF1', 'THI20', 'RPP2A', 'RPS9A', 'RPL14A', 'RPL38', 'RPS23A', 'RPL9A', 'RPS6A', 'YMR155W', 'YAP5', 'CAF20', 'RPS7B', 'RPL16A', 'URM1', 'MNR2', 'RPL34B', 'RPL6B', 'PKR1', 'RPL15B', 'RPL7B', 'RPL43A', 'RPS25A', 'RPS1B', 'YDR506C', 'RPL17B', 'MAG2']","['856024', '853880', '855628', '856015', '855903', '853248']",GO:0005730,5,0.041101745
261,"['TPM1', 'MDH3', 'TPM2', 'PEX31', 'ERP6']","['855645', '854668']",GO:0006887,4,0.010094779
262,"['TPM1', 'MDH3', 'TPM2', 'PEX31', 'ERP6']","['855645', '854668']",GO:0007114,4,0.010094779
263,"['TPM1', 'MDH3', 'TPM2', 'PEX31', 'ERP6']","['855645', '854668']",GO:0048308,5,0.010094779
264,"['TPM1', 'MDH3', 'TPM2', 'PEX31', 'ERP6']","['852887', '851481']",GO:0005777,6,0.010725244
265,"['TPM1', 'MDH3', 'TPM2', 'PEX31', 'ERP6']","['855645', '854668']",GO:0000910,4,0.010725244
266,"['TPM1', 'MDH3', 'TPM2', 'PEX31', 'ERP6']","['855645', '854668']",GO:0007033,5,0.010725244
267,"['TPM1', 'MDH3', 'TPM2', 'PEX31', 'ERP6']","['855645', '854668']",GO:0008092,4,0.010725244
268,"['TPM1', 'MDH3', 'TPM2', 'PEX31', 'ERP6']","['855645', '854668']",GO:0005938,4,0.02800843
269,"['TPM1', 'MDH3', 'TPM2', 'PEX31', 'ERP6']","['855645', '854668']",GO:0005933,3,0.03502959
270,"['TPM1', 'MDH3', 'TPM2', 'PEX31', 'ERP6']","['855645', '854668']",GO:0030427,3,0.03502959
271,"['TPM1', 'MDH3', 'TPM2', 'PEX31', 'ERP6']","['855645', '854668']",GO:0005856,5,0.040251611
272,"['TPM1', 'MDH3', 'TPM2', 'PEX31', 'ERP6']","['855645', '854668']",GO:0007010,5,0.040716718
273,"['TPM1', 'MDH3', 'TPM2', 'PEX31', 'ERP6']","['855645', '854668']",GO:0007005,5,0.040716718
274,"['TPM1', 'MDH3', 'TPM2', 'PEX31', 'ERP6']","['855645', '854668']",GO:0000278,4,0.06275732
275,"['TPM1', 'MDH3', 'TPM2', 'PEX31', 'ERP6']",['852887'],GO:0007031,5,0.090314907
276,"['BRR1', 'SIL1', 'URH1', 'SNX3', 'LHS1', 'SFB2']","['854539', '854126', '855678', '853789']",GO:0012505,3,0.091752474
277,"['BRR1', 'SIL1', 'URH1', 'SNX3', 'LHS1', 'SFB2']","['854126', '855678', '853789']",GO:0005783,4,0.091752474
278,"['BRR1', 'SIL1', 'URH1', 'SNX3', 'LHS1', 'SFB2']","['854126', '853789']",GO:0006605,6,0.091752474
279,"['BRR1', 'SIL1', 'URH1', 'SNX3', 'LHS1', 'SFB2']","['855678', '854539']",GO:0048193,6,0.091752474
280,"['BRR1', 'SIL1', 'URH1', 'SNX3', 'LHS1', 'SFB2']","['854126', '853789']",GO:0030234,3,0.092204285
281,"['BRR1', 'SIL1', 'URH1', 'SNX3', 'LHS1', 'SFB2']","['855678', '854539']",GO:0005794,4,0.092204285
282,"['BRR1', 'SIL1', 'URH1', 'SNX3', 'LHS1', 'SFB2']","['855678', '854539']",GO:0031410,5,0.092204285
283,"['AFT1', 'TIP41', 'MNN4', 'BAP3', 'PBP1', 'SDS23']","['852809', '852824']",GO:0042594,4,0.049701909
